   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.003    0.000    0.426    0.002 /usr/lib/python3.14/site-packages/matplotlib/axes/_axes.py:5532(quiver)
        1    0.000    0.000    0.424    0.424 /usr/lib/python3.14/site-packages/matplotlib/pyplot.py:871(figure)
        1    0.000    0.000    0.423    0.423 /usr/lib/python3.14/site-packages/matplotlib/pyplot.py:548(new_figure_manager)
6212/5012    0.064    0.000    0.420    0.000 /usr/lib/python3.14/site-packages/matplotlib/axes/_base.py:887(_unstale_viewLim)
      120    0.011    0.000    0.412    0.003 /usr/lib/python3.14/site-packages/matplotlib/artist.py:1593(pprint_setters)
5611/4411    0.011    0.000    0.411    0.000 /usr/lib/python3.14/site-packages/matplotlib/axes/_base.py:901(viewLim)
    56045    0.068    0.000    0.408    0.000 /usr/lib/python3.14/site-packages/matplotlib/artist.py:414(pchanged)
     2406    0.059    0.000    0.393    0.000 /usr/lib/python3.14/site-packages/matplotlib/patches.py:583(_draw_paths_with_artist_properties)
      393    0.008    0.000    0.371    0.001 <frozen importlib._bootstrap_external>:826(get_code)
    57650    0.190    0.000    0.353    0.000 /usr/lib/python3.14/site-packages/matplotlib/cbook.py:348(process)
     3807    0.024    0.000    0.345    0.000 /usr/lib/python3.14/site-packages/matplotlib/text.py:194(update)
  400/200    0.002    0.000    0.338    0.002 /usr/lib/python3.14/site-packages/matplotlib/axes/_base.py:3752(set_xlim)
   207/55    0.000    0.000    0.337    0.006 /usr/lib/python3.14/importlib/__init__.py:71(import_module)
   207/55    0.000    0.000    0.337    0.006 <frozen importlib._bootstrap>:1386(_gcd_import)
 1202/802    0.004    0.000    0.335    0.000 /usr/lib/python3.14/site-packages/matplotlib/axis.py:2349(setter)
      601    0.106    0.000    0.334    0.001 /usr/lib/python3.14/site-packages/matplotlib/quiver.py:653(_make_verts)
        1    0.000    0.000    0.332    0.332 /usr/lib/python3.14/site-packages/matplotlib/axes/__init__.py:1(<module>)
     4409    0.027    0.000    0.331    0.000 /usr/lib/python3.14/site-packages/matplotlib/artist.py:1461(get_valid_values)
      802    0.020    0.000    0.330    0.000 /usr/lib/python3.14/site-packages/matplotlib/axes/_base.py:1936(apply_aspect)
    11202    0.044    0.000    0.329    0.000 /usr/lib/python3.14/site-packages/numpy/_core/fromnumeric.py:48(_wrapfunc)
      201    0.002    0.000    0.328    0.002 /usr/lib/python3.14/site-packages/matplotlib/pyplot.py:525(_warn_if_gui_out_of_main_thread)
